source_record_id,report_date,country,location,activity,event_type,narrative,top_lsr_1,top_lsr_1_score,top_lsr_2,top_lsr_2_score,top_lsr_3,top_lsr_3_score,lsr_confidence,suggested_labels,lsr_prediction_status,review_reason
HPE_P035,05 Mar 2025,Netherlands,nan,nan,High Potential Event,"A forklift driver’s ankle was struck by a spreader bar during offloading from a truck at the logistics base. There 
were no lifting pockets welded onto the bar. In past lifting operations, the spreade",Driving,0.5259,Energy Isolation,0.0045,Safe Mechanical Lifting,0.0033,MEDIUM,Driving,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
HPE_P054,07 Sep 2025,Qatar,nan,nan,High Potential Event,"During welding activities, the fire watch for the naked flame activity received an electrical shock when attempting to 
shift an electrical welding rod oven. The fire watch, henceforth referred to as ",Hot Work,0.6702,Confined Space,0.0001,Energy Isolation,0.0001,MEDIUM,Hot Work,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
IOGP_SPI_P092,15 Aug 2025,USA,nan,Production operations,nan,"After bringing the well online following a frac hit, there was a release downstream of the 90-degree choke on the 
high-pressure separator. Washout occurred in the dump system adjustable choke due to ",Energy Isolation,0.5824,Confined Space,0.0002,Hot Work,0.0002,MEDIUM,Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015010411,1/12/2015,USA,"DUMAS, TEXAS",nan,Workplace Safety Incident,Employee was removing a flow line from preventer to mud tank. The flow line pinched the employee's finger between the flange and the BOP causing the amputation. nan,Hot Work,0.7884,Energy Isolation,0.6707,Line of Fire,0.666,MEDIUM,Hot Work | Energy Isolation | Line of Fire | Working at Height,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015010506,1/15/2015,USA,"LAVERNE, OKLAHOMA",nan,Workplace Safety Incident,Employee burned by flash fire at pumping station while adjusting compressor. nan,Hot Work,0.5995,Line of Fire,0.0006,Confined Space,0.0001,MEDIUM,Hot Work,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015010720,1/23/2015,USA,"ULYSSES, KANSAS",nan,Workplace Safety Incident,"An employee was on the stabbing board to hang the tong line. He unhooked the derrick climber from his harness and when he let go of it he was hit in the mouth, lost his footing, and fell even though h",Working at Height,0.9457,Line of Fire,0.9375,Energy Isolation,0.0619,MEDIUM,Working at Height | Line of Fire,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015020518,2/18/2015,USA,"AMELIA, LOUISIANA",nan,Workplace Safety Incident,An employee was standing on a pipe rack using his feet to roll pipe to the edge when his foot was caught by a pipe causing him to fall off the rack. The employee's foot was broken by the pipe that als,Energy Isolation,0.4875,Safe Mechanical Lifting,0.4488,Working at Height,0.4106,MEDIUM,Energy Isolation | Safe Mechanical Lifting | Working at Height,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015020679,2/22/2015,USA,"STANLEY, NORTH DAKOTA",nan,Workplace Safety Incident,"Employee amputated the tip of the left-hand pinky finger while pulling 20' long pipe from a pipe rack. While pulling one section of pipe from the rack, another pipe shifted; the employee's finger beca",Safe Mechanical Lifting,0.5421,Driving,0.0084,Working at Height,0.0054,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015030879,3/1/2015,USA,"BIRMINGHAM, ALABAMA",nan,Workplace Safety Incident,"On 3/1/15, an employee was struck by a passenger vehicle in a roadside work zone, resulting in an amputation. nan",Line of Fire,0.5458,Safe Mechanical Lifting,0.0301,Driving,0.0172,MEDIUM,Line of Fire,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015031093,3/10/2015,USA,"ODESSA, TEXAS",nan,Workplace Safety Incident,"On or about March 10, 2015, at 2:30 p.m., two employees got struck by a drilling motor and a cart. While pushing the cart from the outside of the building to the inside, the cart tipped and the drilli",Energy Isolation,0.6349,Working at Height,0.0621,Confined Space,0.0051,MEDIUM,Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
