record_id,source_record_id,incident_text,top_lsr,top_score,second_lsr,second_score,margin,evidence_labels,semantic_score,agreement_state,suggested_action
OILPS_IOGP_HPE_0001,HPE_P006,"On Thursday March 13th, 2025, the crew change bus had a road accident. It was 18h30 and after a heavy rain at the 
time of the incident.
The bus driver was driving too close to the road edge to avoid ",Working at Height,0.0007,Energy Isolation,0.0001,0.0006,Driving,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0002,HPE_P007,"At around 4am on 1st of May, the two men on the crane were assigned to a new location. The operation involved 
depositing the counterweights. Following a counter-order from the supervisor, they had to",Hot Work,0.011,Energy Isolation,0.0018,0.0092,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0003,HPE_P008,"On 18 August 2025, a team was installing a 6-inch pipe over a 35-metre section between two lines. This pipe was 
also to be used during WO operations. During the operation, the team separated a 6-inch",Energy Isolation,0.0399,Hot Work,0.0003,0.0396,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0004,HPE_P009,"On January 19, 2025, during restart attempts of the HP-A Gas Compressor following corrective maintenance, 
an unusually loud noise was heard from the exhaust. Seconds later, the fire alarm was trigger",Energy Isolation,0.0005,Hot Work,0.0001,0.0004,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0006,HPE_P011,"At about 02:21hrs, while rig crew was picking 4” drill pipe, a single drill pipe was picked from Catwalk to the rig 
floor with Air winch tugger. The IP removed thread protector from the single pipe w",Energy Isolation,0.0002,Safe Mechanical Lifting,0.0002,0.0,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0007,HPE_P000,"At about 10:30 hours, a company-owned light vehicle in a security convoy travelling veered off the road and collided 
with an electric pole. The driver and accompanying customer were safely evacuated ",Driving,0.0054,Working at Height,0.0006,0.0048,Driving,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0011,HPE_P015,"At approximately 06:30, lifting operations were being conducted to move spools from the main deck to the cellar/
sub-cellar deck.
Because no direct lifting path existed, the crew chose to lift the loa",Energy Isolation,0.0033,Working at Height,0.0005,0.0028,Safe Mechanical Lifting | Work Authorization | Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0012,HPE_P016,"While parking the starboard (STBD) crane following routine lifting operations, the crane boom was brought down 
into the boom rest abruptly rather than in a controlled manner. This sudden placement ge",Safe Mechanical Lifting,0.0549,Energy Isolation,0.0001,0.0548,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0014,HPE_P018,"Flex Joint strikes handrail creating 2 Dropped Objects. During the removal of the Flex Joint from the Riser Feeding 
Machine (RFM) using the starboard crane, the aft sling of the Flex Joint became hun",Safe Mechanical Lifting,0.0372,Working at Height,0.009,0.0282,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0016,HPE_P020,"During pallet racking activities in the warehouse, a forklift was in the process of lifting a pallet to the third shelf. The 
load backrest of the forklift inadvertently contacted another pallet direc",Safe Mechanical Lifting,0.0074,Hot Work,0.0005,0.0069,Safe Mechanical Lifting | Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
