record_id,incident_group_id,incident_text,lsr_primary,lsr_secondary,lsr_labels,label_cardinality,label_count,source_documents,source_pages,source_record_ids,source_evidence,dataset_origin,lsr_label_provenance,reconstruction_method,group_status,created_at,is_synthetic,parent_record_id,parent_incident_group_id,generation_method,parent_source_document,parent_source_pages,parent_source_record_ids
INCIDENT-GOLD-0001,GRP-Safety performa-P10,"and the motor was found to have high case drain leakage of hydraulic oil, possibly due to scoring that was observed on the hydraulic motor port plate. It is likely these two factors combined resulted in the load dropping. CORRECTIVE ACTIONS AND RECOMMENDATIONS: With a new motor, new CBV fitted, new brake installed, the fault could not be recreated. New hydraulic oil was cleaned and installed into the crane. A full set of assurance checks carried out including a proof load test. The following are longer term recommendations. • Install pressure compensation sandwich valves under each direction control valve, to prevent the increase in flow and in turn increase in pressure in the auxiliary and slew circuits being shared between the operating functions","[""Safe Mechanical Lifting"", ""Line of Fire""]",[],"[""Line of Fire"", ""Safe Mechanical Lifting""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[10],"[""LSR-CAND-000013"", ""LSR-CAND-000014"", ""LSR-CAND-000255"", ""LSR-CAND-000256""]",PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting | SECONARY LIFE-SAVING RULE:  Line of fire,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0002,GRP-Safety performa-P100,"PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate communication PROCESS (CONDITIONS): Organizational: Inadequate supervision DATE: 14 May 2024 COUNTRY: Azerbaijan","[""Line of Fire"", ""Bypassing Safety Controls""]",[],"[""Bypassing Safety Controls"", ""Line of Fire""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf""]",[100],"[""LSR-CAND-000207"", ""LSR-CAND-000208""]",PRIMARY LIFE-SAVING RULE:  Line of fire | SECONARY LIFE-SAVING RULE:  Bypassing safety controls,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0003,GRP-Safety performa-P101,"DATE: 18 May 2024 COUNTRY: Azerbaijan FUNCTION: Unspecified CAUSE: Dropped objects ACTIVITY: Maintenance, inspection, testing Mechanic used a hydraulic jack to support the vehicle and tried to start repair work beneath the car. Jack failed and mechanic just managed to get aside. WHAT WENT WRONG:","[""Safe Mechanical Lifting"", ""Line of Fire""]",[],"[""Line of Fire"", ""Safe Mechanical Lifting""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf""]",[101],"[""LSR-CAND-000209"", ""LSR-CAND-000210"", ""LSR-CAND-000211""]",PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting | SECONARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Line of fire,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0006,GRP-Safety performa-P105,"PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate supervision DATE: 21 Dec 2024 COUNTRY: Azerbaijan FUNCTION: Production","[""Hot Work"", ""Bypassing Safety Controls""]",[],"[""Bypassing Safety Controls"", ""Hot Work""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf""]",[105],"[""LSR-CAND-000219"", ""LSR-CAND-000220""]",PRIMARY LIFE-SAVING RULE:  Hot work | SECONARY LIFE-SAVING RULE:  Bypassing safety controls,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0007,GRP-Safety performa-P106,"DATE: 20 Sep 2024 COUNTRY: Azerbaijan FUNCTION: Production CAUSE: Falls from height ACTIVITY: Transport – Water, incl. marine activity While the worker was getting off the support vessel onto the boarding platform of the offshore platform, he tripped and fell towards the sea. At the last moment, a rescue sailor on the boarding platform grabbed the worker's clothes and pulled him onto the platform.",Line of Fire,[],"[""Line of Fire""]",SINGLE,1,"[""Safety performance indicators \u2013 2024 data.pdf""]",[106],"[""LSR-CAND-000221""]",PRIMARY LIFE-SAVING RULE:  Line of fire,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,VALIDATED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0008,GRP-Safety performa-P108,"DATE: 16 May 2024 COUNTRY: Azerbaijan FUNCTION: Production CAUSE: Water related, drowning ACTIVITY: Transport – Water, incl. marine activity Contractor ship with company passengers on the deck ran aground 8.3 km from the coast. Support ships were immediately deployed to the area and the passengers were evacuated ashore. WHAT WENT WRONG:","[""Work Authorization"", ""Bypassing Safety Controls""]",[],"[""Bypassing Safety Controls"", ""Work Authorization""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf""]",[108],"[""LSR-CAND-000224"", ""LSR-CAND-000225"", ""LSR-CAND-000226""]",PRIMARY LIFE-SAVING RULE:  Work authorization | SECONARY LIFE-SAVING RULE:  Bypassing safety controls,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0009,GRP-Safety performa-P109,"PEOPLE (ACTS): Following Procedures: Deviation unintentional (by individual or group) PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate communication DATE: 09 Oct 2024 COUNTRY: Azerbaijan","[""Safe Mechanical Lifting"", ""Line of Fire""]",[],"[""Line of Fire"", ""Safe Mechanical Lifting""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf""]",[109],"[""LSR-CAND-000227"", ""LSR-CAND-000228""]",PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting | SECONARY LIFE-SAVING RULE:  Line of fire,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0010,GRP-Safety performa-P11,"CORRECTIVE ACTIONS AND RECOMMENDATIONS: Some of the actions recommended are: • Update vendor training requirement in the contracts, which should include wire rope training for persons involved in crane inspections on the FPSO. • Review and update crane maintenance strategy to include auxiliary rope boom rest protection, frequency of rope change-out, suitable rope and sheath gauge to be used as a tool for measuring rope wear, etc. • Install adequate auxiliary rope boom rest protection. PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)","[""Line of Fire"", ""Driving"", ""Energy Isolation""]",[],"[""Driving"", ""Line of Fire"", ""Energy Isolation""]",MULTI,3,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[11],"[""LSR-CAND-000015"", ""LSR-CAND-000257"", ""LSR-CAND-000258"", ""LSR-CAND-000259"", ""LSR-CAND-000260""]",PRIMARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Driving | SECONARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Energy isolation,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0011,GRP-Safety performa-P110,"SOUTH & CENTRAL AMERICA ONSHORE DATE: 07 Dec 2024 COUNTRY: Argentina FUNCTION: Drilling CAUSE: Dropped objects ACTIVITY: Lifting, crane, rigging, deck operations During the final stage of connecting the tubing hanger to the well head, a 3 ton object fell due to the failure of the WHAT WENT WRONG:","[""Safe Mechanical Lifting"", ""Line of Fire""]",[],"[""Line of Fire"", ""Safe Mechanical Lifting""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf""]",[110],"[""LSR-CAND-000229"", ""LSR-CAND-000230"", ""LSR-CAND-000231""]",PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting | SECONARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Line of fire,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0013,GRP-Safety performa-P112,"• Contractor worked under a generic permit to work (PTW), not addressing excavations. • Contractor did not have an excavation procedure. • Company required simultaneous operations (SIMOPS) controls not implemented. • No access control at the well pad (no lock and/or authorization). CORRECTIVE ACTIONS AND RECOMMENDATIONS: There were gaps in procedures (PTW/SIMOP) not captured previously by assurance system. A similar incident occurred in the past and no corrective actions were taken. Learning from incidents and assurance effectiveness is critical for reducing incident probability.",Hot Work,[],"[""Hot Work""]",SINGLE,1,"[""Safety performance indicators \u2013 2024 data.pdf""]",[112],"[""LSR-CAND-000234""]",PRIMARY LIFE-SAVING RULE:  Hot work,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,VALIDATED,2026-09-03T06:19:44Z,False,,,,,,
