record_id,source,source_document,source_record_id,report_date,country,location,function,industry,activity,event_type,cause,narrative,what_went_wrong,corrective_actions,causal_factors,primary_life_saving_rule,secondary_life_saving_rule,life_saving_rules,severity,hospitalization,amputation,loss_of_eye,sif_potential,hazard,barrier,barrier_failure,potential_consequence,data_source_type,lsr_labels,lsr_primary,lsr_secondary,lsr_provenance,lsr_confidence,lsr_assignment_method,lsr_source_document,lsr_source_page,lsr_source_incident_group,lsr_match_score,lsr_match_evidence
OILPS_IOGP_HPE_0001,IOGP_HPE,IAOGP - High Potential Event Reports.pdf,HPE_P006,13 Mar 2025,Gabon,,Drilling,Oil and Gas Exploration and Production,,High Potential Event,"Caught in, under or between (excl. dropped objects)","On Thursday March 13th, 2025, the crew change bus had a road accident. It was 18h30 and after a heavy rain at the 
time of the incident.
The bus driver was driving too close to the road edge to avoid potholes of the road section. While doing so a part of 
the road edge collapsed under the right front bus tire making the bus end its trajectory on the pipelines on the side 
of the road with 28 pax on board.
Immediate action: 
• An alcohol test was performed (negative).
• The TAG removed. 
• Rearranged work because of restricted mobility due to ankle sprain.","Road accident: Bus swerved to avoid potholes and crashed ending up on its side. During emergency exit, one 
passenger twisted his ankle badly and ended with a lost injury.","The bus had design flaws, and all buses of this type were completely removed from our bus fleet. In addition, the 
procedure for driving on our laterite roads was reviewed.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)
PEOPLE (ACTS): Following Procedures: Work or motion at improper speed
PROCESS (CONDITIONS): Work Place Hazards: Inadequate surfaces, floors, walkways or roads
PROCESS (CONDITIONS): Work Place Hazards: Storms or acts of nature
PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment
AFRICA ONSHORE
Safety performance indicators – 2025 data: High potential event reports
5",,Line of fire,Line of fire,High Potential Event,,,,1,,,,,INDUSTRY_HPE_REPORT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,NOT_ASSIGNED,N/A,N/A,N/A,0.0,No defensible source-grounded match found.
OILPS_IOGP_HPE_0002,IOGP_HPE,IAOGP - High Potential Event Reports.pdf,HPE_P007,01 May 2025,Gabon,,Drilling,Oil and Gas Exploration and Production,,High Potential Event,Struck by (not dropped object),"At around 4am on 1st of May, the two men on the crane were assigned to a new location. The operation involved 
depositing the counterweights. Following a counter-order from the supervisor, they had to carry out a final lift 
before going on to the new location. The spider chains were replaced on the counterweights. As the chains are 
lifted, one of the hooks gets caught in the guide of the counterweight. When the chains come off, they have a spring 
effect. The banksman can't reasonably control three of them and the fourth spins around him with his back lower. 
The spider chain hit the banksman at the back. The IP received pain killer treatment before transferring to hospital 
by chopper. The IP suffered a permanent impairment injury.",The banksman was hit by one of the four hooks on the spider chain.,"• Poor work planning. 
• Inadequate communication between workers.
• Inadequate execution of the operation. 
• Failure to follow lifting procedures, resulting in risks becoming normalized.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)
PEOPLE (ACTS): Following Procedures: Improper lifting or loading
PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment
PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment
PROCESS (CONDITIONS): Organizational: Inadequate communication
PROCESS (CONDITIONS): Organizational: Poor leadership/organizational culture
AFRICA ONSHORE
6
Safety performance indicators – 2025 data: High potential event reports",,Line of fire,Line of fire,High Potential Event,,,,1,,,,,INDUSTRY_HPE_REPORT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,NOT_ASSIGNED,N/A,N/A,N/A,0.0,No defensible source-grounded match found.
OILPS_IOGP_HPE_0003,IOGP_HPE,IAOGP - High Potential Event Reports.pdf,HPE_P008,18 Aug 2025,Gabon,,Drilling,Oil and Gas Exploration and Production,,High Potential Event,Struck by (not dropped object),"On 18 August 2025, a team was installing a 6-inch pipe over a 35-metre section between two lines. This pipe was 
also to be used during WO operations. During the operation, the team separated a 6-inch pipe from a 2-inch pipe, 
both of which had previously been tied together with cords. During the lifting phase, the cords were gradually cut 
to separate the two pipes. When the third cord was cut, the tension accumulated in the 6-inch pipe, which was 
bent at the time, was suddenly released. The pipe rebounded and struck an operator's right leg between the ankle 
and knee, causing an open fracture. The supervisor was immediately informed, the control room was alerted, and 
emergency procedures were quickly implemented.","PI: Right leg open fracture of staff during the connection operation, while lifting a 6-inch pipe and a 2-inch pipe, 
both of which had previously been tied together with ropes on the 18th August 2025.","All work performed requires a dedicated method statement/JHA. The JHA and PTW are updated for all job 
applicants. Improve the behaviour of the authorities responsible for stopping work at all subcontractors. Review the 
management of the contract.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)
PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/
materials/products
PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment
PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment
PROCESS (CONDITIONS): Organizational: Inadequate supervision
AFRICA ONSHORE
Safety performance indicators – 2025 data: High potential event reports
7",,Work authorization,Work authorization,High Potential Event,,,,1,,,,,INDUSTRY_HPE_REPORT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,NOT_ASSIGNED,N/A,N/A,N/A,0.0,No defensible source-grounded match found.
OILPS_IOGP_HPE_0004,IOGP_HPE,IAOGP - High Potential Event Reports.pdf,HPE_P009,19 Jan 2025,Gabon,,Construction,Oil and Gas Exploration and Production,,High Potential Event,"Explosion, fire or burns","On January 19, 2025, during restart attempts of the HP-A Gas Compressor following corrective maintenance, 
an unusually loud noise was heard from the exhaust. Seconds later, the fire alarm was triggered, and it was 
observed that the exhaust structure had fallen off. Technicians in the vicinity immediately pressed the compressor’s 
emergency stop button and evacuated the facility. Simultaneously, the emergency response team was activated, and 
the on-scene commander initiated a full facility shutdown using a manual call point near the compressor building. 
Once the source of the loud noise was confirmed to be the HP-A compressor, with the exhaust lying on the ground, 
the area was cordoned off, and an investigation was launched. The compressor was manually shut down, and the 
ESD-1 emergency stop was activated.","During the starting of gas lift compressor (HP-A), the exhaust pipe of the engine driving the reciprocating 
compressor broke and fell off after several attempts to start it, subsequently activating the fire alarm.","The crew was not very familiar with the model of engine and didn't know how to react after 1 or 2 attempts to 
restart.
The operating manual was in English not fully understood by the maintenance team.","PEOPLE (ACTS): Following Procedures: Deviation unintentional (by individual or group)
PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard
PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment
PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment
AFRICA ONSHORE
8
Safety performance indicators – 2025 data: High potential event reports",,Bypassing safety controls,Bypassing safety controls,High Potential Event,,,,1,,,,,INDUSTRY_HPE_REPORT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,NOT_ASSIGNED,N/A,N/A,N/A,0.0,No defensible source-grounded match found.
OILPS_IOGP_HPE_0005,IOGP_HPE,IAOGP - High Potential Event Reports.pdf,HPE_P010,25 Mar 2025,Ghana,,Unspecified,Oil and Gas Exploration and Production,,High Potential Event,Dropped objects,"During a heavy rainstorm, two aluminium composite panels (component of the external cladding material for the 
Office building) dislodged and dropped. The two (2) panels, each weighing 9.8kgs and measuring 1.11x1.49ms, 
dropped from about a height of 22.35 meters. The fallen panels were found Infront of the South Wing Power room, 
and the affected area was promptly cordoned off to prevent further hazards. Additionally, multiple panels were 
observed hanging loosely, posing a potential safety risk to occupants and visitors.","1. Aluminium composite panels not airtight. - Previous investigations revealed that no consideration was given 
to the potential for panels falling during design and installation. Furthermore, subsequent structural integrity 
assessments did not clearly establish the mode of failure and effective mitigation measures to prevent recurrence.
Additionally, in cases where potentially falling aluminium composite panels have been reported, remedial actions to 
remove and reinstall such panels are not promptly executed, despite the high potential impact of a dropped panel.
2. Corrective action process not effectively implemented. - There has been recurring near misses involving dropped 
Aluminium Composite Panels in 2016, 2017, 2018, and 2024. However, corrective actions, such as implementing 
monthly and quarterly drop inspections, have not been sustained.
Furthermore, planned preventive maintenance and other assurance activities that were instituted have not been 
consistently followed and remain areas requiring improvement. For instance, the annual integrity assessment for 
2023 and 2024 were not conducted as planned.","1. Conduct an integrity inspection and assessment of the external of the entire building to identify any areas of loose 
cladding and fix them immediately to prevent any potential recurrence of the incident in the short term.
2. Re-institute the conduct of the annual inspection programme of the entire exterior of the building's facade to 
identify any areas of loose cladding and fix them immediately to prevent any potential dropped objects.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)
PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured
PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management 
of change
PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing
PROCESS (CONDITIONS): Work Place Hazards: Storms or acts of nature
PROCESS (CONDITIONS): Organizational: Poor leadership/organizational culture
AFRICA ONSHORE
Safety performance indicators – 2025 data: High potential event reports
9",Line of fire,,Line of fire,High Potential Event,,,,1,,,,,INDUSTRY_HPE_REPORT,Line of fire,Line of fire,[],SOURCE_GROUNDED,1.0,NATIVE_CANONICAL_LABEL,NATIVE_CANONICAL,N/A,NATIVE_CANONICAL,1.0,Existing native canonical LSR label preserved.
OILPS_IOGP_HPE_0006,IOGP_HPE,IAOGP - High Potential Event Reports.pdf,HPE_P011,26 Jul 2025,Nigeria,,Drilling,Oil and Gas Exploration and Production,,High Potential Event,Struck by (not dropped object),"At about 02:21hrs, while rig crew was picking 4” drill pipe, a single drill pipe was picked from Catwalk to the rig 
floor with Air winch tugger. The IP removed thread protector from the single pipe while another floorman attempted 
to guide the pipe into the mouse hole. The pipe missed the mouse hole, hit the rig floor and also hit the IP on his 
right ear and shoulder. IP was move to Clinic.","1. Lowering without signal – The air tugger operator lowered the pipe without receiving a stop/lower command, due 
to absence of a dedicated signaller and reliance on previous experience racking 11 stands without one.
2. Obstructed line of sight – The operator was blindsided by the position of already-racked pipes, limiting visibility of 
the mousehole area.
3. IP in fall zone – The injured person was inadvertently in the trajectory of the falling pipe after removing the thread 
protector.
4. Incoherent communication – The floormen recognized the pipe had missed the mousehole but were only able to 
shout warnings, which were not effectively received","1. Updating and endorsing the racking SOP.
2. Assigning a dedicated signaller for all pipe-handling operations.
3. Adjusting derrick camera positioning to restore clear line of sight.
4. Reinforcing communication protocols and hazard-zone controls.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)
PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/
materials/products
PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard
PROCESS (CONDITIONS): Organizational: Inadequate communication
AFRICA ONSHORE
10
Safety performance indicators – 2025 data: High potential event reports",,Line of fire,Line of fire,High Potential Event,,,,1,,,,,INDUSTRY_HPE_REPORT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,NOT_ASSIGNED,N/A,N/A,N/A,0.0,No defensible source-grounded match found.
OILPS_IOGP_HPE_0007,IOGP_HPE,IAOGP - High Potential Event Reports.pdf,HPE_P000,08 Oct 2025,Nigeria,,Production,Oil and Gas Exploration and Production,,High Potential Event,Struck by (not dropped object),"At about 10:30 hours, a company-owned light vehicle in a security convoy travelling veered off the road and collided 
with an electric pole. The driver and accompanying customer were safely evacuated and transported to the Clinic for 
appropriate medical evaluation / attention.","1. Driver lost situational awareness and became mentally disengaged (“lost in thought”).
2. Faulty vehicle radio created a quiet environment with no auditory stimulation to help maintain alertness.
3. Vehicle drifted off the road, and driver reaction was delayed.","1. Effective vehicle safety systems, such as airbags, seatbelts and prompt emergence response minimizes injury 
severity. 
2. Driver to always drive maintaining situational awareness.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)
PEOPLE (ACTS): Inattention/Lack of Awareness: Lack of attention/distracted by other concerns/stress",,Line of fire,Line of fire,High Potential Event,,,,1,,,,,INDUSTRY_HPE_REPORT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,NOT_ASSIGNED,N/A,N/A,N/A,0.0,No defensible source-grounded match found.
OILPS_IOGP_HPE_0008,IOGP_HPE,IAOGP - High Potential Event Reports.pdf,HPE_P012,03 Jun 2025,Nigeria,,Construction,Oil and Gas Exploration and Production,,High Potential Event,Exposure electrical,"On 3rd June 2025, at about 2:15pm, during a test digging on a 6"" test line right of way, the excavator bucket made 
contact with a buried 11KVA composite electrical cable. The incident resulted in a dent/superficial cut on the cable.","1. The excavator was used to accelerate exposure of an underground pipeline despite the presence of multiple 
buried utilities.
2. The as-built survey lacked sufficient detail, particularly regarding test line depth and exact routing, leading to 
misinterpretation of subsurface conditions.
AFRICA ONSHORE
Safety performance indicators – 2025 data: High potential event reports
11

===PAGE_12===
3. During test digging, the excavator bucket contacted a buried 11 kVA composite electrical cable, causing a dent 
and minor cut.
4. Excavator use in close proximity to unidentified/poorly defined underground assets introduced a line-strike 
hazard.","1. Mechanical excavation (excavators) must not be used near unknown or insufficiently verified buried utilities.
2. Probing results identifying multiple underground facilities must trigger manual excavation only.
3. As-built drawings must be accurate, up-to-date, and detailed, especially regarding depth and horizontal spacing.
4. When indications are unclear, stop work and escalate for engineering verification.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)
PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Servicing of energized equipment/inadequate 
energy isolation
PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment
PROCESS (CONDITIONS): Organizational: Inadequate communication",,Line of fire,Line of fire,High Potential Event,,,,1,,,,,INDUSTRY_HPE_REPORT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,NOT_ASSIGNED,N/A,N/A,N/A,0.0,No defensible source-grounded match found.
OILPS_IOGP_HPE_0009,IOGP_HPE,IAOGP - High Potential Event Reports.pdf,HPE_P013,17 Oct 2025,Tunisia,,Production,Oil and Gas Exploration and Production,,High Potential Event,Pressure release,Release of propane from a temp. storage tank.,Forklift hit tank while unloading from flatbed truck.,"Ensure proper lifting procedures are followed, develop a topping up procedure for propane refrigerant, enhance site 
HSSE leadership.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)
PEOPLE (ACTS): Following Procedures: Improper lifting or loading
PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures
PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment
AFRICA ONSHORE
12
Safety performance indicators – 2025 data: High potential event reports",,Line of fire,Line of fire,High Potential Event,,,,1,,,,,INDUSTRY_HPE_REPORT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,NOT_ASSIGNED,N/A,N/A,N/A,0.0,No defensible source-grounded match found.
OILPS_IOGP_HPE_0010,IOGP_HPE,IAOGP - High Potential Event Reports.pdf,HPE_P014,18 Feb 2025,Congo,,Production,Oil and Gas Exploration and Production,,High Potential Event,Dropped objects,"A 9 kg metal plate detached from the conveyor railway and fell approximately 6.5–10 m onto the deck below.
No personnel were struck; however, dropped-object energy indicated fatality potential.
The plate was originally installed as a dropped-object prevention measure. Over time it deteriorated and was 
displaced due to a misaligned and stretched conveyor belt, which pushed the plate out of position.
Operations on the starboard conveyor were stopped, the area below was barricaded, and a rope-access inspection 
of similar installations was initiated.","• Dropped-object protection plate was not adequately inspected or maintained over time.
• Conveyor belt was poorly fitted/misaligned, creating continuous mechanical load on the plate.
• No inspection programme identified deterioration or displacement risk.Safety-critical equipment (secondary 
retention / guarding) was not recognised as such and therefore not verified.
• Asset integrity management and preventative maintenance were ineffective.","• Treat dropped-object prevention devices (guards, covers, retention plates) as safety-critical equipment requiring 
routine inspection.
• Implement a formal inspection and maintenance programme for conveyors and associated guards.
• Correct belt alignment and tension to prevent abnormal loads on structures.
• Periodically survey elevated plant for dropped-object hazards (e.g., DROPS inspections/rope access).
• Ensure barricading/red-zone control beneath overhead equipment during operations where deterioration is 
possible.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)
PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured
PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers
PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing
PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment
 
Safety performance indicators – 2025 data: High potential event reports
13",,Work authorization,Work authorization,High Potential Event,,,,1,,,,,INDUSTRY_HPE_REPORT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,NOT_ASSIGNED,N/A,N/A,N/A,0.0,No defensible source-grounded match found.
