record_id,narrative,all_lsrs
OILPS_OSHA_01060,"An employee was rigging some 2-inch manifold piping near a well head when some of the piping tipped and struck the employee's lower left leg, causing a compound fracture.",Energy Isolation; Safe Mechanical Lifting
OILPS_OSHA_02353,"An employee was hoisting a propane tank when the chain rigging caught the employee's hand, resulting in an index finger amputation.",Safe Mechanical Lifting
OILPS_IOGP_SPI_0069,"Frozen 2” line valve broke releasing 134 bbl oil and 6 bbl water; partial recovery completed.
50
Safety performance indicators – Process safety events – 2025 data
===PAGE_51===",
OILPS_IOGP_SPI_0066,Malfunctioning dump valve caused skim tank carryover spilling 30.43 bbl oil; area to be remediated.,
OILPS_OSHA_01826,"An employee was offloading hydrochloric acid (15% concentration) when the employee was sprayed in the face, suffering acid burns to the face and eyes.",Toxic Gas / Hazardous Substance
OILPS_OSHA_00982,"While loading water from a pipeline into a trailer, an employee was struck by a pipeline pig that ejected out of the pipeline. The employee suffered a broken ankle and leg.",Line of Fire
OILPS_OSHA_03590,"On November 29, 2023, a digger derrick truck pulled an existing utility pole vertically out of the ground. After maneuvering the pole around an obstruction, the base of the pole was lowered. The operator of the digger derrick then released the pole tongs on top of the pole to begin lowering the pole to the ground using the winch line. As the pole approached the position where the chain would be readjusted to a center balance position, the pole kicked out at the base, striking an employee's right leg. The employee was hospitalized with fractures to their tibia and fibula.",Safe Mechanical Lifting; Working at Height; Driving
OILPS_OSHA_02443,"An employee fell from a rolling ladder while operating a valve, landing on a concrete surface about 4 feet below. The employee suffered a broken left femur and a dislocated right elbow and was hospitalized, undergoing surgery.",Working at Height
OILPS_OSHA_03014,"An employee was pressure washing pipes when the fitting on the spray wand broke and the hot water contacted the employee, resulting in burns to his stomach and thighs.",Energy Isolation
OILPS_IOGP_SPI_0015,"During subsea flushing activities on flowline, an estimated volume ranging between 1.58 - 16.15m³ of liquid 
hydrocarbon was discharged to the marine environment. This resulted in an intermittent surface sheen on the 
ocean with an area of ~2x2km.",
OILPS_OSHA_03671,An employee was lowering elevators while trying to couple a joint of tubing coming from a well. The employee's right hand was caught in a pinch point resulting in amputation of the ring fingertip.,Line of Fire
OILPS_IOGP_SPI_0182,"A significant release of flammable gas occurred in a subsea production system when the small-diameter pipe 
responsible for chemical injection instrumentation failed completely. The incident went initially unnoticed by 
automatic safety systems. The escape of gas was eventually discovered during scheduled activities using remotely 
operated equipment for another purpose. The event resulted in a discharge of a large volume of gas into the sea; no 
injuries or direct material impact were reported.",
OILPS_OSHA_00399,"An employee was making welding repairs to one of the pad eyes on a 30 inch Blow Out Preventer (BOP). The task required the employee to place the BOP on a table positioner. While welding the 14,000 lbs. piece, it fell from the table crushing the employee's left foot.",Working at Height; Hot Work
OILPS_IOGP_HPE_0085,"While performing orifice change on a choke valve, the choke bean was ejected toward the operator´s position.",
OILPS_OSHA_01666,An employee was working in an area with an open-ended line when hot steam/water splashed on his back.,
OILPS_OSHA_01177,An employee suffered an electric shock and/or burns on the hands and fingers while installing distribution lines.,
OILPS_OSHA_02635,"An employee was working at a treatment facility construction site. A flatbed had transported a single platform about 1 mile to the site. The platform was strapped onto the flatbed and had wood blocks to keep it from moving. During the transport, one of the pieces of wood vibrated out of position. When the employee released the ratcheted straps, the tubular steel frame platform toppled over and off the flatbed. The platform struck and broke his left leg. He was hospitalized and had surgery.",Safe Mechanical Lifting
