record_id,narrative,ground_truth_lsrs,predicted_rules,rule_probabilities
OILPS_IOGP_SPI_0040,"During this operation, the handle and stem assembly of the 3-way valve, operatin...",nan,Energy Isolation,"{""Bypassing Safety Controls"": 9.999999747378752e-05, ""Confined Space"": 9.999999747378752e-05, ""Driving"": 0.0, ""Energy Isolation"": 0.5040000081062317, ""Hot Work"": 9.999999747378752e-05, ""Line of Fire"": 0.00019999999494757503, ""Safe Mechanical Lifting"": 0.0, ""Toxic Gas / Hazardous Substance"": 9.999999747378752e-05, ""Working at Height"": 0.011099999770522118}"
OILPS_OSHA_00885,An employee was fixing a damaged pipeline and was struck by a pickup truck. The ...,Line of Fire; Driving,Driving; Safe Mechanical Lifting,"{""Bypassing Safety Controls"": 0.007799999788403511, ""Confined Space"": 0.002199999988079071, ""Driving"": 0.9592000246047974, ""Energy Isolation"": 0.011099999770522118, ""Hot Work"": 0.00039999998989515007, ""Line of Fire"": 0.05920000001788139, ""Safe Mechanical Lifting"": 0.2272000014781952, ""Toxic Gas / Hazardous Substance"": 0.003100000089034438, ""Working at Height"": 0.00019999999494757503}"
OILPS_IOGP_SPI_0148,"After bringing the well online following a frac hit, there was a release downstr...",nan,Energy Isolation,"{""Bypassing Safety Controls"": 9.999999747378752e-05, ""Confined Space"": 9.999999747378752e-05, ""Driving"": 0.0, ""Energy Isolation"": 0.38999998569488525, ""Hot Work"": 0.00019999999494757503, ""Line of Fire"": 9.999999747378752e-05, ""Safe Mechanical Lifting"": 0.0, ""Toxic Gas / Hazardous Substance"": 0.0, ""Working at Height"": 0.0}"
OILPS_OSHA_01419,An employee was moving a large job site tool. The tool fell and caught his right...,nan,Safe Mechanical Lifting,"{""Bypassing Safety Controls"": 0.00019999999494757503, ""Confined Space"": 9.999999747378752e-05, ""Driving"": 0.0012000000569969416, ""Energy Isolation"": 0.0007999999797903001, ""Hot Work"": 0.03739999979734421, ""Line of Fire"": 0.1298999935388565, ""Safe Mechanical Lifting"": 0.45590001344680786, ""Toxic Gas / Hazardous Substance"": 0.00019999999494757503, ""Working at Height"": 0.15889999270439148}"
OILPS_OSHA_01418,An employee was sitting on a haul trailer when an ATV backed into him pinning hi...,nan,None,"{""Bypassing Safety Controls"": 0.0, ""Confined Space"": 9.999999747378752e-05, ""Driving"": 9.999999747378752e-05, ""Energy Isolation"": 0.0027000000700354576, ""Hot Work"": 0.0003000000142492354, ""Line of Fire"": 0.0013000000035390258, ""Safe Mechanical Lifting"": 0.04729999974370003, ""Toxic Gas / Hazardous Substance"": 0.0003000000142492354, ""Working at Height"": 0.005499999970197678}"
OILPS_OSHA_03635,"On January 6, 2024, an employee was making a swivel connection involving a winch...",Safe Mechanical Lifting,Line of Fire; Safe Mechanical Lifting,"{""Bypassing Safety Controls"": 0.0003000000142492354, ""Confined Space"": 0.0, ""Driving"": 0.019500000402331352, ""Energy Isolation"": 0.0007999999797903001, ""Hot Work"": 9.999999747378752e-05, ""Line of Fire"": 0.36579999327659607, ""Safe Mechanical Lifting"": 0.9940999746322632, ""Toxic Gas / Hazardous Substance"": 0.00019999999494757503, ""Working at Height"": 0.019200000911951065}"
OILPS_IOGP_HPE_0056,"During welding activities, the fire watch for the naked flame activity received ...",nan,Hot Work,"{""Bypassing Safety Controls"": 0.0, ""Confined Space"": 9.999999747378752e-05, ""Driving"": 0.0, ""Energy Isolation"": 0.00019999999494757503, ""Hot Work"": 0.9325000047683716, ""Line of Fire"": 0.0, ""Safe Mechanical Lifting"": 9.999999747378752e-05, ""Toxic Gas / Hazardous Substance"": 0.0, ""Working at Height"": 0.0}"
OILPS_OSHA_03981,An employee was operating a gate valve. The handwheel kicked back and struck his...,nan,None,"{""Bypassing Safety Controls"": 0.0034000000450760126, ""Confined Space"": 0.01590000092983246, ""Driving"": 0.002300000051036477, ""Energy Isolation"": 0.01489999983459711, ""Hot Work"": 0.002199999988079071, ""Line of Fire"": 0.014999999664723873, ""Safe Mechanical Lifting"": 0.0024999999441206455, ""Toxic Gas / Hazardous Substance"": 0.004100000020116568, ""Working at Height"": 0.0007999999797903001}"
OILPS_OSHA_04139,An employee was performing gas service work outdoors in extreme heat when they b...,nan,None,"{""Bypassing Safety Controls"": 0.00019999999494757503, ""Confined Space"": 0.0007999999797903001, ""Driving"": 9.999999747378752e-05, ""Energy Isolation"": 0.00019999999494757503, ""Hot Work"": 0.0003000000142492354, ""Line of Fire"": 0.0012000000569969416, ""Safe Mechanical Lifting"": 0.0006000000284984708, ""Toxic Gas / Hazardous Substance"": 0.0007999999797903001, ""Working at Height"": 0.0}"
OILPS_IOGP_HPE_0005,"During a heavy rainstorm, two aluminium composite panels (component of the exter...",nan,None,"{""Bypassing Safety Controls"": 0.0, ""Confined Space"": 0.0, ""Driving"": 0.0, ""Energy Isolation"": 9.999999747378752e-05, ""Hot Work"": 0.0, ""Line of Fire"": 0.0, ""Safe Mechanical Lifting"": 9.999999747378752e-05, ""Toxic Gas / Hazardous Substance"": 0.0, ""Working at Height"": 0.00019999999494757503}"
