record_id,incident_group_id,incident_text,source_evidence_text,source_document,source_page,source_record_id,lsr_primary,lsr_secondary,lsr_labels,dataset_origin,lsr_label_provenance,reconstruction_method,reconstruction_status,created_at
RECON-LSR-0001,GRP-Safety performa-P5,"DATE: 24 Oct 2024 FUNCTION: Drilling CAUSE: Caught in, under or between (excl. dropped objects) ACTIVITY: Transport – Land As a convoy moved forward, the driver lost sight of the lorry, loaded with 25 tonnes of cement. It had been about 100 metres ahead of him. He decided to turn back. When he saw the lorry, it had overturned in a ravine. The driver was found a long time later, having been rescued by passers-by. WHAT WENT WRONG:",PRIMARY LIFE-SAVING RULE:  Driving,Safety performance indicators – 2024 data.pdf,5,LSR-CAND-000001,Driving,UNKNOWN,"[""Driving""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:08Z
RECON-LSR-0002,GRP-Safety performa-P5,"DATE: 24 Oct 2024 FUNCTION: Drilling CAUSE: Caught in, under or between (excl. dropped objects) ACTIVITY: Transport – Land As a convoy moved forward, the driver lost sight of the lorry, loaded with 25 tonnes of cement. It had been about 100 metres ahead of him. He decided to turn back. When he saw the lorry, it had overturned in a ravine. The driver was found a long time later, having been rescued by passers-by. WHAT WENT WRONG:",SECONARY LIFE-SAVING RULE:  Bypassing safety controls,Safety performance indicators – 2024 data.pdf,5,LSR-CAND-000002,Bypassing Safety Controls,UNKNOWN,"[""Bypassing Safety Controls""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:08Z
RECON-LSR-0003,GRP-Safety performa-P5,"DATE: 24 Oct 2024 FUNCTION: Drilling CAUSE: Caught in, under or between (excl. dropped objects) ACTIVITY: Transport – Land As a convoy moved forward, the driver lost sight of the lorry, loaded with 25 tonnes of cement. It had been about 100 metres ahead of him. He decided to turn back. When he saw the lorry, it had overturned in a ravine. The driver was found a long time later, having been rescued by passers-by. WHAT WENT WRONG:",PRIMARY LIFE-SAVING RULE:  Bypassing safety controls,Safety performance indicators – 2024 data.pdf,5,LSR-CAND-000003,Bypassing Safety Controls,UNKNOWN,"[""Bypassing Safety Controls""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:08Z
RECON-LSR-0004,GRP-Safety performa-P5,"DATE: 24 Oct 2024 FUNCTION: Drilling CAUSE: Caught in, under or between (excl. dropped objects) ACTIVITY: Transport – Land As a convoy moved forward, the driver lost sight of the lorry, loaded with 25 tonnes of cement. It had been about 100 metres ahead of him. He decided to turn back. When he saw the lorry, it had overturned in a ravine. The driver was found a long time later, having been rescued by passers-by. WHAT WENT WRONG:",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,5,LSR-CAND-000004,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:09Z
RECON-LSR-0005,GRP-Safety performa-P6,CORRECTIVE ACTIONS AND RECOMMENDATIONS: The stowing and undocking procedure must always be followed every time. PEOPLE (ACTS): Following Procedures: Deviation intentional (by individual or group) PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Poor leadership/organizational culture DATE: 09 May 2024,PRIMARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,6,LSR-CAND-000005,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:09Z
RECON-LSR-0006,GRP-Safety performa-P7,"DATE: 15 Nov 2024 FUNCTION: Production CAUSE: Exposure electrical ACTIVITY: Maintenance, inspection, testing A night guard carrying out routine security patrols noticed a sparking light near the critical containment area at an onshore camping base. The guards had been patrolling the area during their normal security patrols and during these patrols it has not been observed before. The guard reported the incident to the construction supervisor. The team went to the area and inspected area where the flashing light was seen coming from. It was discovered that the",PRIMARY LIFE-SAVING RULE:  Energy isolation,Safety performance indicators – 2024 data.pdf,7,LSR-CAND-000006,Energy Isolation,UNKNOWN,"[""Energy Isolation""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:09Z
RECON-LSR-0007,GRP-Safety performa-P7,"DATE: 15 Nov 2024 FUNCTION: Production CAUSE: Exposure electrical ACTIVITY: Maintenance, inspection, testing A night guard carrying out routine security patrols noticed a sparking light near the critical containment area at an onshore camping base. The guards had been patrolling the area during their normal security patrols and during these patrols it has not been observed before. The guard reported the incident to the construction supervisor. The team went to the area and inspected area where the flashing light was seen coming from. It was discovered that the",PRIMARY LIFE-SAVING RULE:  Energy isolation,Safety performance indicators – 2024 data.pdf,7,LSR-CAND-000007,Energy Isolation,UNKNOWN,"[""Energy Isolation""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:09Z
RECON-LSR-0008,GRP-Safety performa-P7,"DATE: 15 Nov 2024 FUNCTION: Production CAUSE: Exposure electrical ACTIVITY: Maintenance, inspection, testing A night guard carrying out routine security patrols noticed a sparking light near the critical containment area at an onshore camping base. The guards had been patrolling the area during their normal security patrols and during these patrols it has not been observed before. The guard reported the incident to the construction supervisor. The team went to the area and inspected area where the flashing light was seen coming from. It was discovered that the",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,7,LSR-CAND-000008,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:09Z
RECON-LSR-0009,GRP-Safety performa-P9,"DATE: 29 Jun 2024 FUNCTION: Production CAUSE: Explosion, fire or burns ACTIVITY: Maintenance, inspection, testing An employee burned his right leg, in the region of the knee, due to hot water projection. At around 11:45 am, during the operation to replace the motorized valve in the hydro cyclone unit, hot water at a temperature of 95ºC and a pressure of 5bar, coming from the same line, hit the employee in the region of his right knee, causing him a first- WHAT WENT WRONG:",PRIMARY LIFE-SAVING RULE:  Energy isolation,Safety performance indicators – 2024 data.pdf,9,LSR-CAND-000009,Energy Isolation,UNKNOWN,"[""Energy Isolation""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:10Z
RECON-LSR-0010,GRP-Safety performa-P9,"DATE: 29 Jun 2024 FUNCTION: Production CAUSE: Explosion, fire or burns ACTIVITY: Maintenance, inspection, testing An employee burned his right leg, in the region of the knee, due to hot water projection. At around 11:45 am, during the operation to replace the motorized valve in the hydro cyclone unit, hot water at a temperature of 95ºC and a pressure of 5bar, coming from the same line, hit the employee in the region of his right knee, causing him a first- WHAT WENT WRONG:",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,9,LSR-CAND-000010,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:10Z
