record_id,source,narrative,primary_lsr,secondary_lsr,all_lsrs,label_count,lsr_label_provenance
OILPS_OSHA_01060,OSHA,"An employee was rigging some 2-inch manifold piping near a well head when some of the piping tipped and struck the employee's lower left leg, causing a compound fracture.",Energy Isolation,Safe Mechanical Lifting,Energy Isolation; Safe Mechanical Lifting,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02353,OSHA,"An employee was hoisting a propane tank when the chain rigging caught the employee's hand, resulting in an index finger amputation.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0069,IOGP_SPI,"Frozen 2” line valve broke releasing 134 bbl oil and 6 bbl water; partial recovery completed.
50
Safety performance indicators – Process safety events – 2025 data
===PAGE_51===",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0066,IOGP_SPI,Malfunctioning dump valve caused skim tank carryover spilling 30.43 bbl oil; area to be remediated.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01826,OSHA,"An employee was offloading hydrochloric acid (15% concentration) when the employee was sprayed in the face, suffering acid burns to the face and eyes.",Toxic Gas / Hazardous Substance,,Toxic Gas / Hazardous Substance,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00982,OSHA,"While loading water from a pipeline into a trailer, an employee was struck by a pipeline pig that ejected out of the pipeline. The employee suffered a broken ankle and leg.",Line of Fire,,Line of Fire,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03590,OSHA,"On November 29, 2023, a digger derrick truck pulled an existing utility pole vertically out of the ground. After maneuvering the pole around an obstruction, the base of the pole was lowered. The operator of the digger derrick then released the pole tongs on top of the pole to begin lowering the pole to the ground using the winch line. As the pole approached the position where the chain would be readjusted to a center balance position, the pole kicked out at the base, striking an employee's right leg. The employee was hospitalized with fractures to their tibia and fibula.",Safe Mechanical Lifting,Working at Height,Safe Mechanical Lifting; Working at Height; Driving,3,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02443,OSHA,"An employee fell from a rolling ladder while operating a valve, landing on a concrete surface about 4 feet below. The employee suffered a broken left femur and a dislocated right elbow and was hospitalized, undergoing surgery.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03014,OSHA,"An employee was pressure washing pipes when the fitting on the spray wand broke and the hot water contacted the employee, resulting in burns to his stomach and thighs.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0015,IOGP_SPI,"During subsea flushing activities on flowline, an estimated volume ranging between 1.58 - 16.15m³ of liquid 
hydrocarbon was discharged to the marine environment. This resulted in an intermittent surface sheen on the 
ocean with an area of ~2x2km.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03671,OSHA,An employee was lowering elevators while trying to couple a joint of tubing coming from a well. The employee's right hand was caught in a pinch point resulting in amputation of the ring fingertip.,Line of Fire,,Line of Fire,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0182,IOGP_SPI,"A significant release of flammable gas occurred in a subsea production system when the small-diameter pipe 
responsible for chemical injection instrumentation failed completely. The incident went initially unnoticed by 
automatic safety systems. The escape of gas was eventually discovered during scheduled activities using remotely 
operated equipment for another purpose. The event resulted in a discharge of a large volume of gas into the sea; no 
injuries or direct material impact were reported.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00399,OSHA,"An employee was making welding repairs to one of the pad eyes on a 30 inch Blow Out Preventer (BOP). The task required the employee to place the BOP on a table positioner. While welding the 14,000 lbs. piece, it fell from the table crushing the employee's left foot.",Working at Height,Hot Work,Working at Height; Hot Work,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0085,IOGP_HPE,"While performing orifice change on a choke valve, the choke bean was ejected toward the operator´s position.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01666,OSHA,An employee was working in an area with an open-ended line when hot steam/water splashed on his back.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01177,OSHA,An employee suffered an electric shock and/or burns on the hands and fingers while installing distribution lines.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02635,OSHA,"An employee was working at a treatment facility construction site. A flatbed had transported a single platform about 1 mile to the site. The platform was strapped onto the flatbed and had wood blocks to keep it from moving. During the transport, one of the pieces of wood vibrated out of position. When the employee released the ratcheted straps, the tubular steel frame platform toppled over and off the flatbed. The platform struck and broke his left leg. He was hospitalized and had surgery.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02519,OSHA,An employee assisting in hydro-excavation operations sustained injuries to the left foot from a pressure washer being operated by another employee. The injured employee sustained lacerations on the left foot a few inches above the ankle and between the little toe and the fourth toe.,Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_FATAL_0010,IOGP_FATAL,Fatal fire following premature restart during PSV maintenance.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00499,OSHA,"An employee was using a pry bar to guide the base of a jib crane over the bolts in the floor. The base was suspended by straps attached to a forklift. The base slipped in the straps and pinned the employee's right hand between the pry bar and the floor, breaking his right index finger and requiring hospitalization.",Energy Isolation,Safe Mechanical Lifting,Energy Isolation; Safe Mechanical Lifting,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02123,OSHA,An employee had been operating a pumping unit at a salt water disposal facility when a fire/explosion occurred. The employee sustained third degree burns to 60 percent of his body.,Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01941,OSHA,"A foreman and his crew were about to take a section of a crane hook and move it into position. The foreman stopped work, noticing something wrong, and the pipe shifted and struck his hands while they were on the handrail. He suffered amputation injuries to his left ring and little fingers.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02050,OSHA,An employee was about to flip a breaker when he suffered a burn to his right hand.,Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03501,OSHA,An employee was loading a railcar when a flash fire occurred. The employee sustained first- and second-degree burns to the left side of the body.,Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_04155,OSHA,An employee was performing winching operations on a flatbed when their left hand was pinched between a winch hook and a nylon bridle resulting in the amputation of his left index finger.,Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0057,IOGP_SPI,"Based on witness statements and post incident evidence. On 5/9/2025, at approximately 12:30 hours, a gas leak 
occurred on the gas filter separator located at the Compressor Station. A vapor cloud formed until it contacted an 
unknown ignition source. The vapor cloud “exploded” and caused a fire which damaged the adjacent glycol reboiler 
along with other equipment.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03398,OSHA,"An employee was standing on the rig, spooling the line, when the tubing line got caught around both ankles. The unit engaged and he sustained a left ankle fracture and right ankle sprain.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0004,IOGP_SPI,"On February 28, 2025, around 9:00am field Operators, upon arrival at the field, spotted a gas leak bubbling a 
few meters from the well jackets. No oil sheen noticed, only gas bubbles. Later we found out to be related to a 
temporary abandoned well.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_HPE_0031,IOGP_HPE,"During platform crane lifting operations to land a container on the main deck North landing, the IP sustained 
a crush/impact injury to shoulder/ribs. The crane and container were made safe and the individual treated by 
platform advanced first aider followed by coastguard medevac for further assessment.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02648,OSHA,An employee was operating a forklift at a well site and was hospitalized for heat stress.,Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00049,OSHA,"An employee was on the stabbing board to hang the tong line. He unhooked the derrick climber from his harness and when he let go of it he was hit in the mouth, lost his footing, and fell even though his lanyard was attached. His face hit the standpipe of the derrick and the 3 foot fall injured his back.",Line of Fire,Working at Height,Line of Fire; Working at Height,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00436,OSHA,On 11/22/2015 at 11:50 a.m. an employee was isolating the gas line to identify the point of a suspected ice plug. He walked over to the meter when the hammer union on a two inch gas line disconnected and the pipe struck his leg injuring the tibia and fibula.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0058,IOGP_HPE,"An 800-ton crawler crane and a 280-ton crawler crane had concluded lifting operations and were idle. A civil crew 
requested the 800-ton crane operator to reposition the hook so they could avoid working under it. While slewing, the 
boom tip section of the 800-ton crawler crane contacted the wire rope of the stationary 280-ton crawler crane. The 
crane was operating within a barricaded area. No visible damage was found on both crawler cranes, and there were 
no injuries",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01097,OSHA,"While rigging down after working for 12 hours, an employee began feeling weak and displaying signs of heat exhaustion. The employee was hospitalized.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03150,OSHA,"On the morning of July 21, 2022, two employees were at a stacked rig, removing 4-inch high-pressure piping. They began to break the nuts loose on the saddle clamp bolts under the valve tree. As they were breaking loose the last nut, the piping suddenly rotated in the saddle clamp and the transducer valve tree (about 4 feet tall, weighing 250 pounds) pivoted 90 degrees toward the ground and landed on one of the employees. The hammer union ears at the top of the valve tree struck him in the middle of the shoulder and back, causing contusions.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02138,OSHA,Two employees were welding pipe when the 9x9 steel welding hut blew over due to a microburst. One employee was hospitalized for a fractured leg and hip.,Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02688,OSHA,"A hoist was being used to move a 700 lbs. object. While holding a chain to help direct the object, an employee tripped and was struck by the object. The employee suffered a head/scalp injury, an injury to the left hand, and a left pinky finger injury. The employee required surgery for all injuries.",Line of Fire,Safe Mechanical Lifting,Line of Fire; Safe Mechanical Lifting,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0159,IOGP_SPI,"The worker, holding the position of Plant Specialist Operator, was splashed with hot liquid (amine). He was 
transported via regular flight to the hospital for evaluation by a specialist. His health condition is stable, and one day 
of medical leave was issued.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02622,OSHA,An employee was taking pressure readings on a hull when his right foot fell into the hull opening where grating had been removed. The employee was hospitalized with broken ribs and torn tissue in his knee.,Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00824,OSHA,An employee was tripping out rods on a servicing rig when his hand was caught above the rod transfer case near the swivel. His right arm was then caught and fractured on the rod transfer.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03082,OSHA,An employee was moving a welding machine when it tipped over and crushed the fingers on his right hand. Part of a finger was medically amputated.,Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0202,IOGP_SPI,"A flash fire occurred during the demolition of internal components in the first-stage knockout drum (module C2) at 
the facility.
136
Safety performance indicators – Process safety events – 2025 data
===PAGE_137===",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0121,IOGP_SPI,"Pipeline Lease Automatic Custody Transfer (LACT) unit leak from nipple under flow meter spilled 33 bbl. on pad; 30 
bbl. recovered.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02763,OSHA,"An employee was dumping a mini dumpster, mounted on a forklift, into a large trash container. When the mini dumpster tipped, the employee's finger was caught between it and the forklift's forks. The employee's fingertip was amputated.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0074,IOGP_SPI,Comms failure at tank battery caused 110 bbl PO release from water tank thief hatch; all product recovered.,None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0081,IOGP_SPI,Corrosion pinhole caused spill of 68.13 bbl oil and 158.97 bbl water; remediation to follow.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01659,OSHA,"An employee was operating a blender. Noticing that a booster pump was running, he began walking toward it to turn it off. The booster pump deadheaded, causing pressure and steam to build up in the line, and as the employee approached an 8-inch suction hose broke loose from the pump and struck him in the lower left leg. He suffered a compound fracture to the left leg and second-degree steam burns to the torso.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
