source_document,source_path,page_number,mention_type,excerpt
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,1,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,2,GENERAL_DISCUSSION,This report was authored by the Life-Saving Rules Task Force of the
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,2,GENERAL_DISCUSSION,Life-Saving Rules User Agreement
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,2,GENERAL_DISCUSSION,The user accepts that any use of the IOGP Life-Saving Rules shall be on an ‘as is
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,2,GENERAL_DISCUSSION,development of the IOGP Life-Saving Rules (or an affiliate of such contributor) be
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,3,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,4,GENERAL_DISCUSSION,2. The Life-Saving Rules 8
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,4,GENERAL_DISCUSSION,3. Implementing the Life-Saving Rules 9
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,4,GENERAL_DISCUSSION,3.3  The Life-Saving Rules as part of a system 12
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,4,GENERAL_DISCUSSION,3.4  Life-Saving Rules implementation resources 19
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,4,GENERAL_DISCUSSION,4. Data analysis in the revision of the Life-Saving Rules 20
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,4,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,5,GENERAL_DISCUSSION,revised IOGP Life-Saving Rules.
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,5,GENERAL_DISCUSSION,"IOGP Report 459 introduces the revised IOGP Life-Saving Rules, provides"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,5,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,6,GENERAL_DISCUSSION,Life-Saving Rules to mitigate risk and reduce fatalities in the oil and gas industry.
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,6,GENERAL_DISCUSSION,"standardising Life-Saving Rules across the industry. Over 80% of the workforce,"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,6,GENERAL_DISCUSSION,of Life-Saving Rules (Figure 2) to provide workers in the industry with the actions
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,6,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,7,GENERAL_DISCUSSION,"the revised IOGP Life-Saving Rules (See Appendix A for data analysis, Rule"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,7,GENERAL_DISCUSSION,The IOGP Life-Saving Rules are not intended to address all risks and hazards in
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,7,GENERAL_DISCUSSION,Standardisation of Life-Saving Rules across the oil and gas industry:
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,7,GENERAL_DISCUSSION,• Adopt the IOGP Life-Saving Rules if they currently have no equivalent
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,7,GENERAL_DISCUSSION,• Transition to the revised IOGP Life-Saving Rules if using a different set of
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,7,GENERAL_DISCUSSION,• Accept and encourage contractor use of the revised IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,7,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,8,GENERAL_DISCUSSION,2. The Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,8,GENERAL_DISCUSSION,The nine Life-Saving Rules are shown in Figure 2. These Rules focus on the
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,8,GENERAL_DISCUSSION,Figure 2: The 9 IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,8,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,9,GENERAL_DISCUSSION,"Standardisation of Life-Saving Rules simplifies training, aids compliance and"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,9,GENERAL_DISCUSSION,additional Life-Saving Rules.
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,9,GENERAL_DISCUSSION,aware of and can confirm they can follow the Life-Saving Rules that are
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,9,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,10,GENERAL_DISCUSSION,these align with the Life-Saving Rules.
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,10,GENERAL_DISCUSSION,to ensure commitment to implement the Life-Saving Rules.
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,10,GENERAL_DISCUSSION,"Life-Saving Rules (stakeholder mapping, communications plan, accountability"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,10,GENERAL_DISCUSSION,implementation and ongoing use of the Life-Saving Rules.
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,10,GENERAL_DISCUSSION,• Use the IOGP Life-Saving Rules roll-out and engagement materials.
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,10,GENERAL_DISCUSSION,"Experience from member companies shows that the Life-Saving Rules, when"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,10,GENERAL_DISCUSSION,"To enable individuals to follow the Life-Saving Rules, organisations need first to"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,10,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,11,GENERAL_DISCUSSION,intervene if they observe a Life-Saving Rule (or indeed any other unsafe
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,11,GENERAL_DISCUSSION,"If a Life-Saving Rule is not followed, organisations need to determine the reason"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,11,GENERAL_DISCUSSION,"If a Life-Saving Rule is not followed, despite organisations providing all the necessary"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,11,GENERAL_DISCUSSION,as a potential human violation (not necessarily related to a Life-Saving Rule).
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,11,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,12,GENERAL_DISCUSSION,consequence management for not following a Life-Saving Rule to be sure that the
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,12,GENERAL_DISCUSSION,The introduction of the Life-Saving Rules to a workforce is not by itself sufficient
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,12,GENERAL_DISCUSSION,continuously improve conformance to the Life-Saving Rules. Examples may include:
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,12,GENERAL_DISCUSSION,"on implementing the Life-Saving Rules, refreshing the programme, and"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,12,GENERAL_DISCUSSION,• SPE-179289-MS: Re-Energising the Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,12,GENERAL_DISCUSSION,3.3 The Life-Saving Rules as part of a system
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,12,GENERAL_DISCUSSION,"As noted in the introduction to this document, the Life-Saving Rules are intended"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,12,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,13,RULE_DEFINITION,Life-Saving Rule Additional Guidance & References
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,13,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,14,RULE_DEFINITION,Life-Saving Rule Additional Guidance & References
